wahl_jahr;kanton_nummer;kanton_bezeichnung;partei_id;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;letzte_wahl_anzahl_gewaehlte;letzte_wahl_anzahl_gewaehlte_f;letzte_wahl_anzahl_gewaehlte_m;differenz_anzahl_gewaehlte;differenz_anzahl_gewaehlte_f;differenz_anzahl_gewaehlte_m;fiktive_waehlende;letzte_wahl_fiktive_waehlende;differenz_fiktive_waehlende;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
2019;25;Genève;1;FDP;PLR;PLR;FDP;2;12;3;9;2;1;1;3;0;3;-1;1;-2;17803.540343;21291.434759;-3488;17.927960388;20.511781928;-2.58382154;0;2
2019;25;Genève;2;CVP;PDC;PPD;CVP;2;12;7;5;1;0;1;1;0;1;0;0;0;7609.9808857;12510.239264;-4900;7.6631632386;12.052137517;-4.388974279;0;5
2019;25;Genève;3;SP;PS;PS;SP;3;16;7;9;2;1;1;3;1;2;-1;0;-1;14628.013278;20693.500607;-6065;14.730241151;19.935743015;-5.205501863;0;3
2019;25;Genève;4;SVP;UDC;UDC;SVP;3;19;4;15;2;1;1;2;1;1;0;0;0;13556.195706;18301.948403;-4746;13.650933183;17.631765015;-3.980831832;0;4
2019;25;Genève;7;EVP;PEV;PEV;EVP;1;10;3;7;0;0;0;0;0;0;0;0;0;697.5146155;610.93472506;87;0.7023891965;0.5885634291;0.1138257674;0;10
2019;25;Genève;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;5;48;25;23;1;1;0;0;0;0;1;1;0;7371.1036999;6290.8942584;1080;7.4226166596;6.0605333845;1.3620832751;0;6
2019;25;Genève;13;GPS;PES;PES;GPS;3;27;14;13;3;2;1;1;1;0;2;1;1;24440.756485;11903.453658;12537;24.611560716;11.467571274;13.143989442;1;1
2019;25;Genève;16;EDU;UDF;UDF;EDU;1;1;1;0;0;0;0;0;0;0;0;0;0;110.97976904;232.903881;-122;0.1117553512;0.2243753731;-0.112620022;0;12
2019;25;Genève;31;GLP;PVL;PVL;GLP;2;10;5;5;1;0;1;0;0;0;1;0;1;5407.0493879;2355.5009691;3052;5.4448365535;2.2692468946;3.1755896589;0;7
2019;25;Genève;32;BDP;PBD;PBD;BDP;1;2;0;2;0;0;0;0;0;0;0;0;0;369.73519093;1064.0185221;-694;0.3723190854;1.0250561383;-0.652737053;0;11
2019;25;Genève;33;MCR;MCR;MCR;MCR;1;9;3;6;0;0;0;1;0;1;-1;0;-1;5337.5178557;8183.9989634;-2846;5.3748191003;7.8843161081;-2.509497008;0;8
2019;25;Genève;35;Übrige;Autres;Rimanenti;Others;4;10;4;6;0;0;0;0;0;0;0;0;0;1973.612783;362.17198914;1611;1.9874053764;0.348909923;1.6384954534;0;9
2019;26;Jura;1;FDP;PLR;PLR;FDP;3;6;3;3;0;0;0;0;0;0;0;0;0;2040.8079881;4668.7712473;-2628;9.0734838523;16.784481044;-7.710997192;0;6
2019;26;Jura;2;CVP;PDC;PPD;CVP;3;6;3;3;1;0;1;1;0;1;0;0;0;5118.8136492;7686.0727858;-2567;22.758374752;27.631840616;-4.873465864;0;2
2019;26;Jura;3;SP;PS;PS;SP;2;4;1;3;1;0;1;1;0;1;0;0;0;6074.8000981;6595.3182796;-521;27.008714646;23.710520131;3.2981945146;1;1
2019;26;Jura;4;SVP;UDC;UDC;SVP;3;6;1;5;0;0;0;0;0;0;0;0;0;3254.9659215;3573.4907888;-319;14.471660686;12.84688952;1.6247711664;0;4
2019;26;Jura;7;EVP;PEV;PEV;EVP;1;2;0;2;0;0;0;;;;0;0;0;322.83968173;;323;1.4353533778;;1.4353533778;0;7
2019;26;Jura;8;CSP;PCS;PCS;CSP;3;6;3;3;0;0;0;0;0;0;0;0;0;2165.6326476;1840.0510549;326;9.6284574409;6.6150814456;3.0133759953;0;5
2019;26;Jura;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;;;;;;;;0;0;0;0;0;0;;1051.0267026;-1051;;3.7784969175;-3.778496918;;
2019;26;Jura;13;GPS;PES;PES;GPS;2;4;2;2;0;0;0;0;0;0;0;0;0;3514.1400138;2023.6035652;1491;15.623955246;7.2749624862;8.3489927593;0;3
2019;26;Jura;35;Übrige;Autres;Rimanenti;Others;;;;;;;;0;0;0;0;0;0;;377.6655759;-378;;1.3577278397;-1.35772784;;
